Name,Mission,Country


"Chto Delat","The collective Chto Delat (What is to be done?) was founded in early 2003 in Petersburg by a workgroup of artists, critics, philosophers, and writers from St. Petersburg, Moscow, and Nizhny Novgorod with the goal of merging political theory, art, and activism.","Russia"


"Circo Social Del Sur","Circo Social Del Sur is an NGO dedicated to circus arts and culture as a development strategy and community, social and personal transformation. Active in Buenos Aires since 1996 and founded by circus performers and professionals from various social areas. It was legally established in 2002. We thought of the circus arts as a strategy to generate new forms of belonging, community participation and organization as well as to promote the development of capacities for creation and autonomy of young people we work with.","Argentina"


"Circo Volador","Circo Volador is a Center for Art and Culture dedicated to the care of young people from the different sectors of society which are normally excluded for economic or political reasons, by gender, identity, sexual orientation or any other group conditions.","Mexico"


"Circus In Motion","Circus In Motion is a contemporary circus arts company that offers social circus workshop and visually captivating circus performances. We specialize in inventive live performances and the creative use of geometrical shapes to perform our circus acts. The company has worked with more than 3000 under-previliged children and youths from a broad spectrum of settings; residential homes, special needs schools, Normal (Technical) Stream students from main stream schools and certain underprevilged communities overseas in Thailand, Malaysia, Indonesia and Cambodia.","Singapore"


"Cirque du Monde","The group of young creators and ordinary citizens who contributed to the birth of Cirque du Soleil never forgot where they came from. Rather than tackling a wide range of causes, the Cirque chose to commit itself to at-risk youth through its social circus program, Cirque du Monde. With the aim to foster the personal and social development of these young people, Cirque du Monde actions expressed through social circus workshops, training, support and consulting services, networking and advocacy.","Canada"


"Cirque Hors Piste - Cirque du Monde Montréal","L'organisme Cirque Hors Piste offre différents volets d’activités dans le but d’entrer en contact avec la population ciblée par les quatre organismes partenaires et de soutenir leur développement personnel, physique, et social. Le projet propose aux participants l’occasion de créer, à partir de leur marginalité, de nouveaux rapports avec la société.","Canada"



"Clay and Paper Theatre","The goal of Clay & Paper Theatre is to change the world. Completely. Irrevocably. It is the fervent desire of Clay & Paper Theatre to encourage people to abandon propriety, to escape the mundane, to celebrate the wisdom of the little man and woman, to transform dormant curiosity, to acknowledge all of life, both negative and positive, to astonish the innocent and perplex the sophisticated, to have a view of the whole world, to raise questions about the big questions and to throw hot tar on the little ones.","Canada"


"Clean Break","Our vision is of a society where women are not criminalised unjustly nor imprisoned unnecessarily. We believe that theatre enables women to challenge their oppression by society in general and by the criminal justice system in particular. Clean Break has thrived since its establishment in 1979 and this is testimony to the power of theatre and the strength of the company’s work. The women-only building in Kentish Town provides a safe space where transformation and learning become possible.","United Kingdom"


"Comics With a Cause","Comics with a Cause is a small team of artists and advocates based out of Vancouver with a mission to use comics and storytelling to spread awareness of sexual assault and violence.","Canada"


"Common Weal Community Arts Inc.","Common Weal Community Arts Inc. is a provincial arts organization that collaboratively engages professional artists with communities to promote social change and cultural identity through creative expression.","Canada"


"Community Arts Council of Vancouver","CACV’s vision is of a socially-engaged, inclusive, and vibrant city alive with community arts. CACV’s mission is to further the development of community arts throughout Vancouver.","Canada"


"Community Arts Lab-XL","Community Art Lab-XL, is a Dutch laboratory for art and society, a network of leaders who aspire to a greater role of art in social development. It may be more and it could be better. Key themes are the promotion of professionalism and legitimacy, from project to program, vital coalitions and culture producing citizens. CAL-XL is a platform and catalyst for new connections between artistic and social sectors, between theory and practice, between international and local.","Netherlands"


"Community Media for Development","Community Media for Development Productions is a media/ communication for development consultancy specialising in high quality communication materials and projects (serial radio dramas, radio spots, digital stories, music, theatre and print publications). Our services include project management and implementation of communication campaigns, radio production, community and journalist training, and materials development, all based on communication for social change approaches and emphasising community input and participation.","South Africa"


"Community Theatre Internationale","Creating community through performance... across borders local and global . The Community Theatre Internationale develops multi-media, collaborative productions between community-based ensembles in different parts of the world. Mixing live performance with video and Internet technology, we create “stages” on which ordinary people from around the globe gather to make theatre and art. Boundaries that divide are transformed into opportunities for beauty and surprise. Speaking the language of improvisation, we perform grassroots global conversations—with no opening or closing nights.","United States"


"Complex Social Change","Complex Social Change: teaching, performing, exhibiting, designing, mapping is an interdisciplinary research program involving Josephine Mills (Principal Investigator, Art Gallery), Bruce MacKay (Liberal Education), Lisa Doolittle (Theatre & Drama), Tiffany Muller Myrdahl (Women & Gender Studies), Emily Luce (New Media), and Louise Barrett (Psychology).  The project brings together scholars from different disciplinary backgrounds with a common interest— a fascination with the beautiful, challenging, confusing evolution of our society. We are a community of change-makers, investigating how change is made. Our goals are to contribute to a contemporary definition of liberal education and to better understand what is involved with creating participation and engagement in activist actions in the current social climate. We will explore theoretical positions and frameworks for effective, sustained activist engagement using examples of past successful actions and theoretical reflections from feminist, anti-racist, disability, and health (especially AIDS) movements as well as exploring current issues around public engagement.","Canada"


"Concentric Media","Concentric Media is an independent video and digital production company based in Northern California with a focus on films that provide fresh perspectives on complex issues. Subjects range from holistic healing to progressive education; from aging to the universal Spirit within all faiths. Our work also documents controversial subjects such as women's reproductive rights, HIV/AIDS in Africa, and the disenfranchisement of Native Americans.","United States"


"Cornerstone Theatre","For over 29 years, Cornerstone has brought together an ensemble of professional artists of the highest caliber with people who would never think of themselves as artists to produce works of excellence based on the stories, concerns and issues of a given community.Our plays celebrate many voices, and are staged in theaters and in parking lots, in factories, schools and subway stations. We strive to include people who have not been on stage or even seen theater. We’ve taken up residence in small towns and urban neighborhoods, collaborating with locals from start to finish to tell their unique stories through theater.","United States"


"Corporación Cultural Nuestra Gente","Corporación Cultural Nuestra Gente is a non-profit, private law, grassroots organization, initiated in 1987, animated by the need for joint efforts of young people in the north east of Medellin to show the positive aspects of our neighborhoods and thus the art and culture of their inhabitants. During these 23 years there has been an ongoing process of education and training and inspiration in art and culture as tools for community, human and artistic work, understanding it as a way of life of children, youth, adults and seniors, women and men; dabbling in theater programs, puppets, dance, music, recreation, community communication, radio and TV projecting all our work in exchanges, exhibitions, festivals and community arts annual meetings.","Columbia"


"Corpuscule Dance","The mandate of Corpuscule Dance focuses on the creation, production and teaching, in addition to including a strong interest in integrating people with disabilities into society through two distinct components: Teaching and Performance.","Canada"


"CRAC Valparaiso","CRAC Valparaiso is a collaborative non-profit platform that focuses on different socio-artistic productions in the city of Valparaiso, Chile. CRAC is an independent project with a flexible and autonomous management model that has been self-sustained since 2007. Our interest is to contribute to the debate on the possibilities of collective citizenships and artistic practices. Thus develop, re-think and re-design participatory common policies on sustainable development in our culture, social spaces and society by promoting autonomy and transversal knowledge on contemporary disciplines.","Chile"


"create! in the East Village","Located in the Golden Age Club, create! in the East Village offers free, drop-in, inclusive programming to residents of the East Village four days a week. Started in December 2013 by Wendy Lees, a Social Worker with a background in group facilitation and art, create! in the East Village began in response to a lack of creative programming for marginalized peop[le in the area and as a positive means for integrating the new development with the current population.","Canada"


"Creative Aging Calgary Society","The Creative Aging Calgary Society strives to advance recognition of the importance of arts and aging and to heighten awareness of the benefits of professionally conducted participatory arts and aging programs. In so doing, we reach out to many stakeholders – older adults, senior-serving agencies, artisans, researchers, elected officials, funders, change-leaders and policy makers.","Canada"


"Creative City Network of Canada","Through its work the Creative City Network of Canada helps build the capacity of local cultural planning professionals – and by extension local governments – to nurture and support cultural development in their communities. By doing so, the Creative City Network of Canada aims to improve the operating climate and conditions for artists, arts, heritage and cultural organizations across the country, and the quality of life in Canadian communities of all sizes.","Canada"


"Creative Manitoba","Creative Manitoba strengthens, represents and connects Manitoba’s arts and creative industries. We are a not for profit organization dedicated to supporting the arts and cultural industries of Manitoba and helping to develop sustainable careers for those working in arts and culture. By providing opportunities for business skill development through our various workshops, courses, and seminars, we help you take your creative career to the next level.

Creative Manitoba offers various training programs and workshops for individual artists or those working at arts & cultural organizations. Creative Manitoba also has a Artists + Community Professional Development program among others.

The Artists and Community Professional Development Program is for artists and community members wishing to:

develop, grow or refine an existing community arts practice
work in the field of community-based arts
work collaboratively for community cultural development
Upon completion of the program, participants will have the skills, knowledge and confidence to initiate and manage collaborative community-based arts projects and programs.

Participants who successfully complete the full program will receive a Certificate of Completion from Creative Manitoba.

Certified practitioners may be eligible for national community arts residency exchanges and ongoing support and promotion through the new Manitoba Institute for Artists + Community Collaboration at Creative Manitoba.","Canada"


"Creative Publics","We start from the assumptions that electoral politics can sometimes be a weird thing to talk about. It can be confusing and a bit boring.  Intimidating and confrontational. And that's assuming you have the time, energy and network to engage in political conversations in the first place. 

Based on this assumption, we want to offer a more appealing and accessible invitation into challenging discussions. By facilitating public art-making workshops inspired by the election, Creative Publics opens up new spaces for political expression where ideas and perspectives can be explored through a creative, tactile activity.","Canada"


"Creative Spirit Art Centre","The Creative Spirit Art Centre provides art education and studio space for people with disabilities.","Canada"


"Creative Works Studio","We provide a fully-equipped, safe and accepting community–based arts studio for people living with severe and persistent mental illness and/or addictions. All members are encouraged to reach their highest potential through art projects and workshops. As a result, their general life skills and ability to cope in the larger community also improve. The healing process is based on integration of principles of occupational therapy, mental health care, visual arts and vocational counseling. We support our members on their journey to self-expression through art, greater self-esteem, improved confidence and eventually increased participation within the larger community.","Canada"


"Creature Tales","We are a small and agile arts company well positioned to take informed measured risks to influence social, cultural, health, educational and economic change. Creature Tales’ core business is innovation, developing new ideas with diverse groups of people. Creative projects stem from research and are collaborative by nature, brokering partnerships across broad sectors.","Australia"


"CuriousWorks","CuriousWorks is a unique media arts company celebrating diversity in multicultural Australia. Based in western Sydney, we use film, theatre, digital technology and education programs to collaborate with communities so they can tell their own stories to local, national and global audiences. We provide a window and a voice to this ‘other Australia’ (often from migrant, refugee or indigenous backgrounds). We have a focus on building skills and potential of individuals by nurturing a new generation of storytellers within these communities. Step by step we work towards making these largely untold stories central in the mainstream narrative of our country.","Australia"


"DADDA","DADAA is a not-for-profit community arts and cultural development (CACD) organisation, focusing on creating significant positive social change and opportunities for people with a disability or a mental illness. Based in Fremantle, DADAA offers targeted arts and cultural programs that include a broad range of traditional and new media projects in almost 50 Western Australian communities."


"DAH Theatre Research Centre","In the contemporary world, destruction and violence can only be opposed by the creation of sense - is the founding and continuing motto of DAH Theatre.The goal of Dah Theatre Research Centre is a constant exchange of knowledge, experience and programs among artists and theatre professionals from different theatrical and national traditions. The artistic education of young people is another important goal, reflected in the ongoing programs of theatre and dance training, and many workshops by visiting artists and pedagogues.","Serbia"



"dala","dala is an interdisciplinary creative collective that believes in the transformative role of creativity in building safer and more liveable cities. dala emerged as a response to the growing need for a sustainable space for creative practitioners actively engaging in the production of art / architecture for social change in eThekwini. dala believes that sustainable change can only happen through democratic participation and collaboration.","South Africa"


"Dance United","Dance United positively changes the lives of marginalised and hard-to-reach people through high-quality dance training and performance. We create bespoke dance projects and interventions to meet the needs of different groups of people who are struggling with difficult circumstances – for example, youth offenders and gang members, people accessing mental health services or who are fighting addictions, and disengaged young people with seriously challenging behaviours.","United Kingdom"


"Dans La Rue","Founded by Father Emmett Johns in 1988, Le Bon Dieu dans la rue helps homeless and at-risk youth. With dedication, empathy and respect, and with the support of the community, Dans la rue cares for their immediate needs and helps them acquire the skills and resources needed to lead more autonomous and rewarding lives.","Canada"


"Danza Mobile","Disabilities. Art. Social integration. Professional integration. Rehabilitation. Standardization. These are some of the key pieces of a puzzle that Danza Mobile proposed to build in 1995 witha project creating space where the world of arts and disability join.","Spain"



"Darb","Darb long-term vision is to promote social change, to sensitize people and to expand their horizons through the inspiration and education of artists and the broader community.","Egypt"


"DAREarts","DAREarts is a Canadian charitable organization that uses educational experiences in the arts to empower children and youth facing life challenges, with confidence, courage and leadership skills to unlock their potential and ignite change in their lives and communities.","Canada"


"Darpana Academy of Performing Arts","Darpana is an arts center where the arts meet society, to inform, educate and transform. Started 66 years ago as a teaching and performance institute, it has grown into a contemporary symbiosis affirming the role of creativity in culture, researching into our origins and reaching out to the unsaid or unthought of. Darpana believes that art is a language that is universal. Darpana is committed to excellence, innovation and the excitement of using the arts for change.","India"


"Debajehmujig","De-ba-jeh-mu-jig Theatre Group is a professional community based non-profit organization dedicated to the vitalization of the Anishinaabeg culture, language and heritage, through education and the sharing of original creative expression with Native and Non-Native people.","Canada"


"Destreet Art Foundation","Destreet Art Foundation provides Uganda's young generation, both girls and boys from the age of 6 years onwards, the knowledge, skills and capacity for personal and community development through the arts. Our goal is to work together to discover and promote each child's talent. We help ghetto youth enhance the physical, moral and social development in their communities. We assist in building professional relationships between local artists and international consumers.","Uganda"



"Deveron Arts","Deveron Arts has no building, instead the town is the venue; acting as studio, gallery and stage for artists of all disciplines invited from around the world to live and work here. For this we use found spaces throughout the town and its surrounding areas: supermarkets, churches, garages, bothies to name just a few. Engaging with local people and the community through topics of both local and global concern, Deveron Arts works through a 50/50 approach. This brings together artistic and social relationships in a global network that extends throughout and beyond the geographic boundaries of Huntly.","United Kingdom"



"DNAWORKS","In 2006, Adam McKinney and Daniel Banks, Ph.D., co-founded DNAWORKS, an arts and service organization dedicated to furthering artistic expression and dialogue, focusing on issues of identity, culture, class, and heritage. We catalyze performance and action through the arts in the intersecting communities in which we live and work. In our work, art = ritual = healing = community. We believe that this philosophy and practice lead to a more peaceful world.","United States"



"Dodolab","DodoLab is the experimental creative practice of Lisa Hirmer and is focused on developing provocative approaches to working with the public and the nebulous reality of public opinion. Often modeled as a type of performative research, the work explores and responds to the public’s relationship with contemporary issues—meaning that it is never solely an idea in and of itself that is explored, but rather an idea in relation to the public’s (or more accurately a specific public, counter-public or community’s) understandings and beliefs about that idea.","Canada"


"Drake Music","Non-disabled people can make music in many ways and at many different levels. Our vision is a world where disabled people have the same range of opportunities, and a culture of integrated music-making, where disabled and non-disabled musicians work together as equals.","United Kingdom"


"dramAcum","dramAcum is an NGO active in generating new drama, innovative drama techniques and production of shows. DramAcum use drama as a tool for social action.","Romania"


"DramAidE","Our main aim and objective is to use participatory drama and other interactive educational methodologies for HIV/AIDS, life-skills and sexuality-education. These methodologies are participatory, non-judgemental, culturally sensitive and accessible to all ages, levels of education and cultural backgrounds.","South Africa"


"Dramatic Change","Dramatic Change is a non-profit organization working to empower communities in Canada and abroad through participatory arts processes reflecting the culture, desires, and life experiences of the people in the community.","Canada"


"East Bay Center","East Bay Center for the Performing Arts engages youth and young adults in imagining and creating new worlds for themselves and new visions for their communities through the inspiration and discipline of rigorous training in world performance traditions.","United States"


"East End Arts","East End Arts is the city’s sixth Local Arts Service Organization, a group of organizations funded by the City of Toronto to serve a specific geographic area whose role is to encourage artistic growth in both emerging and established artists, contribute to the economy and local tourism, promote inclusion and equity, support healthy social change and help create audiences for the future.","Canada"


"El Colegio del Cuerpo","El Colegio del Cuerpo is a cultural and an educative space – plural and democratic – that offers the opportunity to construct a new ethics of the human body, indissolubly connected to an aesthetic and artistic search; simultaneously associated with contemporary cultural, social, political and economic issues.","Colombia"


"El Sistema","El Sistema's approach to music education emphasizes intensive ensemble participation from the earliest stages, group learning, peer teaching and a commitment to keeping the joy and fun of musical learning and music making ever-present. The backbone of El Sistema training is preparation for participation in orchestral ensembles, which are the soul of the nucleo community and culture.","Venezuela"


"El Sistema Aeolian","El Sistema Aeolian is a free, intensive after-school orchestra program with the intent to influence social change through the pursuit of musical excellence.","Canada"

"Encounters Project","Rencontres/Encounters is an engaged, intercultural research-creation project, whose aim is to evaluate, envision and imagine performance as a means to build relationship across different values and life experiences. R/E aims also to offer possibilities for transformation in understanding of others and otherness in a range of community contexts.  The R/E believes that another person’s perspective can be better understood (though never even close to fully understood) through storytelling, dialogue, and through performance of oneself, and of another.

R/E wishes to share our thought-provoking, challenging and beautiful work with larger community through workshops and performances in which art-building and engagement with others can thrive. New levels of empathy are possible when we take on another’s story as if it were our own. New ways of seeing ourselves and others are illuminated, making visible both the real and perceived boundaries that prevent relationship and community between people of different immigration statuses, racializations, sexualities, gender identities, classes, faiths, abilities and other intersecting factors.","Canada"


"Engrenage Noir / ROUAGE","Engrenage Noir is an independent, non-profit artist organization created in 2001. It was founded to support community and activist art practices, not only financially, but also in the form of training, follow-through with the actual projects and networking. Engrenage Noir / ROUAGE aims to associate itself with community organizations and their members that work to confront the systemic causes underlying situations of social, economic and political exclusion. Engrenage Noir hopes to explore with them how community activist art projects can support their socially and politically engaged activity, and at the same time, include activist artists in these collaborations. For ROUAGE, community activist art projects are not only focused on demands for social change, but they also explore at the same time how to question inter-personal relations of power.","Canada"


"Enmedio","Enmedio means “in the midst of…”, and that’s where we are: in the midst of everything. In the midst of art, social activism, in the midst of the media. We’re in the midst of the crisis, and we seem likely to remain here for quite a while. As they say, the crisis is here to stay. But that doesn’t scare us, because we’re here to stay too. What about you?","Spain"


"Epic Arts Cambodia","During the last 10 years we have seen Epic Arts grow from a few workshops in Phnom Penh, to the opening of Epic Arts Cafe' in Kampot in 2006, right through to the construction of our purpose built fully accessible Arts Centre in 2009. We have been lucky enough to see the results of this hard work as many of the graduates from our early projects now work for Epic Arts as staff and act as advocates for many young disabled people in Cambodia.","Cambodia"


"Epic Arts China","Epic Arts has been working in China since 2001 although we do not have a permanent office in the country. Epic Arts’ first project was in China, in an orphanage in Nanning, where we choreographed an integrated dance piece with the children.  Since then we have worked regularly in a number of provinces and cities, including Beijing and Shanghai.","China"


"Epic Arts UK","Epic Arts has been designing and delivering arts programmes in the UK since 2003, mainly in London, where we have our registered office. Our work promotes creativity, inclusion and aspiration, and helps people to see abilities rather than disabilities. Our projects take place in community settings, schools, hospitals, hospices, anywhere suitable for the art, drama, music, film-making and other art-forms that we explore with our project participants.","United Kingdom"


"Exeko","Exeko is an agency for social innovation, based in Montreal since 2006. We use creativity – art and philosophy – to promote social inclusion for the people experiencing or at risk of exclusion. Above all else, our approach recognizes that everyone has the potential to reflect, analyze, act, create, and to become an integral part of society, irrespective of their social status or life course: we presume equality of intelligence.","Canada"


"Expressive Arts Ireland","Expressive Arts is founded on the premise that everyone is capable of making meaningful art and that the process and/or product is always helpful to the client. Expressive Arts Ireland works in a four main areas: Therapy, Education, Social Change, Performance and Community Arts.","Ireland"


"Extant Jesters","We work like the jester. We use wit, candour and creativity to entertain, provoke and inspire. We bring theatre to those who may not otherwise appreciate or have access to it, nor recognize the ways in which theatre, stories and the actor's tool box can prove relevant and applicable to their every day lives.","Canada"


"Fairytale Presentation Society","Fairy Tales Presentation Society is a not-for-profit, charitable organization located in Calgary, Alberta, Canada. We celebrate local and national queer artists and share diverse stories based in film. Our artistic endeavors strive to provide a safe and respectful venue for members of all communities to celebrate queer culture across the LGBTTQA spectrum, as well as including those who subscribe to culturally, politically, artistically, and otherwise alternative and innovative ways of contributing to society.","Canada"


"Far from the Heart","Far From The Heart engages and educates teens through improvisational theatre to prevent dating violence and sexual assault and create safe relationships.","Canada"


"Fire Station Arts","Over the years the Fire Station has commissioned a significant number of groundbreaking socially engaged and public art projects. Our commitment to the area of arts and disability remains as we seek news ways to support the professional development of visual artists with disabilities. We continue to build on our connections internationally through this commissioning programme, as well as remain committed to stimulating critique and debate around these areas of practice through publications, talks and seminars.","Ireland"


"Firefly International","We support locally-led projects in Bosnia and Palestine that create safe, supportive and inclusive spaces for young people to learn, thrive and grow. Through artistic and educational programmes, our partners, Svitac and Project Hope, provide young people with opportunities and support to develop their skills, confidence and networks, improving prospects for brighter futures for themselves and their communities.","United Kingdom"


"First Exposures","First Exposures is a San Francisco-based, nationally recognized youth mentoring program that strives to make a major long-term difference in the lives of high-need, underserved San Francisco Bay Area youth by providing a venue for them to enhance their self-confidence, develop their creativity, and gain a passion for learning. Cited as a model program by the State of California, First Exposures serves youth 11-18, who are referred to the program by a wide range of youth and social services organizations with which First Exposures partners.","United States"


"Formaat","Formaat is an organization dedicated todisadvantaged and vulnerable people, people who find it difficult to stand up for themselves and to participate in society. Our product is theater, and through Participatory Drama techniques we want to give people the chance to develop strategies for life, and to rehearse for reality with each other in dialogue on an equal level. In addition to our activities, we believe it is important to share our methods, knowledge and experience with others. Therefore Formaat is also a Knowledge Centre which includes training in Participatory Drama.","Netherlands"


"Fotosynthesis","Fotosynthesis uses participatory photography and research to support social cohesion and give a voice to individuals and communities in the United Kingdom and abroad.","United Kingdom"


"freeDimensional","Based on the belief that creative expression fuels social justice movements, freeDimensional works with the global arts community to identify and redistribute resources, and support meaningful relationships between art spaces and activists. freeDimensional aims to engage with and foster solidarity among marginalized groups, including LGBT communities, people experiencing economic oppression, people with disabilities, migrants, and young people. freeDimensional is also committed to promoting long-term economic and environmental sustainability within its network of art spaces and human rights organizations","United States"


"Fringe Benefits","Fringe Benefits is a groundbreaking educational theatre company whose workshops and productions have earned the commendations of educators, parents and community leaders. Fringe Benefits offers tools for constructive dialogue and action on issues of tolerance and diversity.","United States"


"Funambules Media","Funambules Media is a work cooperative who directs and produceds socially engaged videos. It offers training workshops in citizen video and organizes cultural celebrations promoting and disseminating art films. By offering a standalone media force, Funambules Media is part of a global process of social change.","Canada"


"Gallery Gachet","Gallery Gachet is a unique artist-run centre located in Vancouver’s Downtown Eastside. Gachet is a collectively-run exhibition and studio space built to empower participants as artists, administrators and curators.","Canada"


"Gary Friedman Productions","The aim of our community development work has been to pass on puppetry skills to local community groups, thus giving communities the ability to take their own messages to their people. Some of the topics we have been involved with are HIV/AIDS, Prison work, Abuse, Corruption, Democracy Education and many others during the nineteen eighties, nineties and beyond. We have conducted performances and workshops throughout Africa, Canada, Australia and some parts of Europe to establish puppetry-in-education groups internationally","Australia"


"Gashanti Unity","Gashanti Unity is a group of young Somali women in Toronto. Our mission is to provide girls and young women a safe atmosphere to develop their gifts, abilities, and positive relationships. We do this through the provision of leadership and mentoring programs, consultation and information services; and through community capacity building and training and education.","Canada"


"Generarte","Generarte is an association dedicated to research, education and artistic diffusion in which everyone can participate, create and act for their own personal and collective development. We base our work on dialogue and seek the joint construction of a healthy society, where we we value diversity and we manage to preserve the eco system of which we are part.","Peru"


"GeriActors","We are an intergenerational theatre company called GeriActors & Friends, producing original plays based on stories and issues from our lives. We also offer outreach theatre programs for seniors throughout Edmonton.","Canada"


"Germinalia","Mission: Promote and develop participatory and creative actions to find effective solutions to problems facing socially disadvantaged populations in Mexico, particularly children and youth in areas such as education, arts and culture, science, research, human and sustainable development.","Mexico"


"Global Arts Corp","From Rwanda to Kosovo, Cambodia to the North of Ireland, Global Arts Corps has used the transformative power of theatre to bring together people from opposite sides of violent conflict, unrest and war in 17 countries on 4 continents, reaching over 75,000 audience members, and facilitating reconciliation workshops for over 11,000 participants.","United States"


"Gordon Tootoosis Nikaniwin Theatre","Mission: to produce and present innovative cultural theatre experiences that engage and empower First Nations, Métis and Inuit youth, artists and the greater Saskatchewan community.","Canada"


"Graffiti Art Programming Inc.","Graffiti Art Programming Inc., known as GAP Inc. or The Graffiti Gallery, is a not-for-profit community youth art centre, using art as a tool for community, social, economic and individual growth. It is the only one of it's kind in North America for artists of all ages and genres from traditional art, to urban and performance art - including hip hop, art, graffiti art and street art.","Canada"


"Grass Stage","Grass Stage has focused on deepening the connection between theatre and society, and has made use of a wide range of venues and situations for performances and discussions. Grass Stage events are not only spaces for bringing together diverse elements of society, but also provide, in a country with a political environment relatively lacking in opportunities for public participation, a fluid and varied range of public social spaces.","China"


"Greentop","Greentop is a Circus school, charity and social enterprise. Providing professional training, school workshops, kids parties & team building. Greentop’s vision is of: “A thriving circus arts sector in the North of England, where circus is an artform that touches everyone in the North, transforming lives and inspiring positive social and individual change.” Our Mission is “to use contemporary circus skills to enhance people’s lives and inspire positive change”","United Kingdom"


"Groundation Grenada","Groundation Grenada is a social action collective which focuses on the use of creative media to assess the needs of our communities, raise consciousness and act to create positive radical growth. Our mission is to provide active safe spaces to incubate new modes of resistance, building from the local to affect regional and international solidarity and change.","Grenada"


"Groundwater Workshops","Groundwater Workshops, formerly Ask an Actor, was created by Erin Shields in 2004 to provide high quality drama workshops to teachers and students. We deliver programs that respond to social and curriculum needs, often conducting school-wide initiatives that engage students of all ages. We have visited over seventy-five schools in Toronto, the GTA and beyond, returning to most schools for many years.","Canada"


"Group 705","The group was formed in 2005 on the basis of the Children's Media Center with the support of ArtEast. The main activities of the initiative group are street performances, animation and experimental theater of the absurd. Our mission: to overcome the unbearable absurdity of life through simple concrete meaningful action.","Kyrgyzstan"


"Groupo Contrafilé","The Contrafilé (Sao Paulo, Brazil, 2000) investigates possible relationships between art, politics and education and how they extend the right to creative production of the city. Develops public intervention work promoting creative encounters with different people, groups and communities.","Brazil"


"GuanaRED","We are a network of artists, cultural managers and promoters who promote the collective experience of art and culture in different communities in Costa Rica, seeking to promote social transformation.","Costa Rica"


"Gudran Association for Art and Development","Gudran Association for Art and Development is a coalition of artists, writers, photographers, directors, dramatists, and musicians motivated by what we call “the artists’ social responsibility-” to abandon the traditional spaces of exhibition and performance, activate our artistic practice in the street, and stimulate contact with all aspects of Egyptian society. We aim to promote positive social transformation through the development of artistic practices that involve more members of society and surpass the state of stagnancy surrounding contemporary art.","Egypt"


"H'art Center","We are a non-profit, charitable arts hub that provides people with disability and those facing barriers with opportunities to study, practice, create and produce works in the arts.","Canada"


"Hamilton Youth Poets","Hamilton Youth Poets was created in 2012 to give our community's youth the opportunity to develop their creative skills and have their voices heard. HYP has grown steadily and evolved into an arts organization that engages Hamilton youth in the act of telling their own stories through spoken word, verse, multimedia, poetry slam, and new age journalism.","Canada"


"Harbourfront Centre","Harbourfront Centre, on Toronto's waterfront, is an innovative not-for-profit cultural organization that creates events and activities of excellence that enliven, educate and entertain a diverse public.","Canada"


"Health Action Theatre by Seniors","HATS is an innovative, community-based health care program for seniors. HATS uses a form of educational theatre to raise awareness about difficult issues facing seniors. At the same time, this educational theatre (performed by volunteer seniors) also promotes a positive problem-solving forum for both audience and participants.","Canada"


"Health Arts Society and Artworks Program","Health Arts Society aims to meet the need for high quality live professional arts programs for people in health care sites. The Artworks program's goal is to maintain seniors' interest in creative pursuits to the best of their ability.","Canada"


"Heartefact","Heartefact was founded in 2009 as an organization dedicated to raising critical awareness and building open and free societies through creative and artistic exchange on important social issues related to human rights, freedom of speech and social responsibility. We support and encourage contemporary and engaged cultural and artistic creativity, thus creating the conditions for constructing a new generation of socially engaged, creative and progressive forces that will critically reflect the world around them, and contribute to the development of the entire region.","Serbia"


"Highlight Arts","We are Highlight Arts. You may know us from our previous name, Reel Festivals. Highlight Arts organizes festivals, events and workshops to uncover stories about people and places affected by ‘conflict’ in its many different forms: inequality, prejudice, war or environmental disaster. We are a non-profit, UK-based charity and have been running for over eight years.","United Kingdom"


"Hip Hop Theatre Initiative","Mission:

To integrate the rigors of theatre training with the performance elements and politics of the youth-driven, grassroots, activist culture of Hip Hop
To train participants to lead arts-based workshops and to facilitate dialogue about the social issues pertaining to Hip Hop.","United States"


"Hua Dan","Hua Dan Limited is a Hong Kong-registered charity dedicated to using the power of participation in theatre workshops as a tool for individual and community transformation. Through such workshops, we assist migrant workers and their children in mainland China, who are either migrants themselves or left-behind to stay with family.","China"


"I.AM (Intergenerational Arts Movement)","I.AM (Intergenerational Arts Movement) is an arts initiative providing affordable arts-related services to all members of York Region in order to explore their creative potential. We strongly believe in the power of creativity in bridging communities and people together. 

The mission of I.AM is to provide a space of social and personal awakening through diverse artistic platforms.

I.AM’s vision is to be a cultivating community arts engaged initiative in the Regional Municipality of York...","Canada"


"Idensitat","IDENSITAT is an arts project investigating ways of impacting the public sphere through creative proposals related to place and territory in their spatial, temporal and social dimensions.","Spain"


