Additional Info,Address,ArtBridging Section,Arts Focus,Facebook,Languages,Linkedin,Main Catchment Area,Main Communities Served,Main Community-Engaged Arts / Arts for Social Change Activities,Main Contact Email,Main Contact Name,Mandate/Mission,Organization Name,Phone,Profile URL,Secondary Address,Secondary Contact,Status,Twitter,Website
"We use a broad youth-driven definition of violence, which allows for issues such as self-harm, substance use, cyber-bullying (cyber-violence), physical and emotional violence, stigmatization and marginalization, as well as racism, sexism, homophobia and all other forms of intentional exclusion, to be included in our conversations about violence.","2455 Fraser Street
Vancouver, BC  V5T 0E6","Mentorship, workshop opportunities, project collaboration, community partnerships, resource sharing, staff training, event collaborations.","Media Arts (Film, Photography and Journalism), Multidisciplinary Arts , Visual Arts",https://www.facebook.com/leaveoutviolencebc/,"English, We welcome and aim to accommodate all languages.",,British Columbia,"Youth, 13-19 years",LOVE BC is a violence prevention organization that provides media arts and leadership workshops to youth between the ages of 13 to 19. Youth attend weekly afterâ,vancouver@leaveoutviolence.org,"Omar Chu, Office Coordinator",To break the cycle of violence in the lives of young people and in our communities by building a team of youth leaders who communicate a message of anti-violence.,Leave Out Violence (LOVE) Society BC,(604) 709-5728,http://artbridges.ca/community/profile/146,,,Non-profit,https://twitter.com/LoveWiredBC,http://www.bc.leaveoutviolence.org
,"chemin du Pinacle
Frelighsburg, QC  J0J 1C0",,"Multidisciplinary, Visual Arts",https://www.facebook.com/libractivite,"English, French",,Quebec,All Ages,LibractivitÃ© was created by Ã,edithartiste@gmail.com,"Edith Cambrini, Founder","Creative workshops for all in Armandie, QuÃ©bec.



A creative force lies dormant in each of us, come and stir it awake!



Creativity can be cultivated and shared. You are therefore cordially invited to create with fellow participants!",LibractivitÃ©,,http://artbridges.ca/community/profile/476,,,Art Hive,,
,"75 Albert Street #401
London, ON  N6A 1L7",,Creative Aging programs for older adults,http://creativeage.ca/creative-aging-in-london-ontario/,English,,"Ontario, London Ontario and surrounding area",Seniors,"-Organizing annual Creative Age Festival

-Organizing and promoting ongoing creative aging arts programs at local neighbourhood libraries

-Engaging older adults to help plan programs, events and activities

-Applying for grants and sponsorship funds to sustain programs

-Promoting and practicing cross sector collaboration

-Organizing and implementing social media and community awareness campaigns to educate about a rapidly aging population and a new generation of older adults approaching retirement

-Making presentations to municipal, arts, health and seniors' organizations

-Raising awareness about the need to stop ageism in our communities",getkathysmith@gmail.com,"Kathy Smith, Founder and Volunteer Coordinator",The mission of the London Creative Age Network (LCAN) is to improve the quality of life of London's older adults by organizing creative aging programs in their neighbourhoods and engaging isolated seniors in the arts and cultural life of the city.,London Creative Age Network,519 697 2177,http://artbridges.ca/community/profile/429,,,"Annual Festival, Non-profit, Project, Network",https://twitter.com/LdnOntCAL,http://creativeage.ca/creative-aging-in-london-ontario/
,"#1007 - 128 West Cordova
Vancouver, BC  V6B0E6",,,https://www.facebook.com/loveintersections/?fref=nf,English,,British Columbia,"All Ages, Intersectional LGBTQ2+ Communities","We are proud that our short films have screened in over 20 film festivals across the globe, bringing to life the intersecting dimensions of queerness, Indigeneity, racial and cultural identity, family, allyship, and love. Aside from using films to evoke the experiences of diverse queer lives, Love Intersections also features academic papers, short stories, poems, essays, silly rants and ultimately vulnerable narratives to engage in artful social change.",intersectinglove@gmail.com,"David Ng, Co-Founder","At the heart of our project, Love Intersections fundamentally operates from an anti-oppression framework â",Love Intersections,,http://artbridges.ca/community/profile/492,,,"Artist Collective, Project, Online Blog",,https://loveintersections.com
We work with people of all ages and backgrounds living in the Mabelle neighbourhood â,"208 Osler Street
Toronto, ON  M6N 2Z1",,"We are a multi-disciplinary arts company, with a focus in environmental art and public space transformation, ceremony and spectacle.",,English,,"Ontario, Central Etobicoke, Toronto--GTA and beyond.","Adults, All Ages, Children, Seniors, Youth, We work with people of all ages and backgrounds living in the Mabelle neighbourhood","The artistic vision of all MABELLEarts projects grows from the belief that art making and sharing is itself an act of rebellion against forces of market control and gentrification.  We believe that the act of making beautiful a shared space, object or event is essential to the role of the artist and the promise of urban renewal.  This has always been the role of art â",leah@mabellearts.ca,"Leah Houston, Artistic Director","MABELLEarts brings together people of all ages, backgrounds and abilities to make art, tell stories and creatively transform the place that is Mabelle â",MABELLEarts,(416) 239-4900,http://artbridges.ca/community/profile/149,"5005 Dundas Street West
Etobicoke, ON",,Non-profit,,http://www.mabellearts.ca
,"50 Queen Street
Dartmouth, NS  B2Y 1G1",,"Dance, Literary Arts, Media, Multidisciplinary, Music, Theatre, Visual Arts",https://www.facebook.com/macpheecentre/,English,,Nova Scotia,Youth,"MacPhee Centre for Creative Learning offers free of charge after-school creative learning programming during the school year. The programs are intended for youth ages 12-19 who are disengaged in their education and at-risk of dropping out, but we welcome any youth who feel they could benefit from our space. The main goal of MacPhee Centre for Creative Learning is to help youth connect their passions with purpose in a safe and inclusive environment.",quinn@macpheecentre.ca,"Quinn MacIsaac, Program Coordinator",MCCL provides an environment of respect where youth can re-engage in school through creative arts programs. We foster an interest in lifelong learning in order to decrease dropout rates from school and empower youth to pursue careers that will provide financial independence and allow them to contribute positively to our community.,MacPhee Centre for Creative Learning,902-469-2851,http://artbridges.ca/community/profile/487,,"Heather MacDonald, Executive Director","Art Hive, Artist Collective, Artist-run Centre, Charity, Non-profit, Program",https://twitter.com/MacPheeCentre,http://www.macpheecentre.ca
,"205Â -19Â WÂ PenderÂ Street
Vancouver, BC  V6BÂ 1S5",DanceÂ artistsÂ inÂ ourÂ networkÂ couldÂ mentorÂ others.Â WeÂ wouldÂ loveÂ toÂ seeÂ moreÂ communityÂ danceÂ projectsÂ invitedÂ inÂ otherÂ provincesÂ andÂ seeÂ artisticÂ collaborationÂ betweenÂ artistsÂ ofÂ differentÂ regionsÂ inÂ Canada.Â,Dance,https://www.facebook.com/MiBCDanceOnTour,"English, French",,British Columbia,"Adults, All Ages, Children, Dis/Abilities, Seniors, Youth, LGBTQ+Â community,Â SouthÂ AsianÂ Community","Every Body Dance BC:

Organized by Made in BC in partnership with the Vancouver Board of Parks and Recreation, Every Body Dance BC is a gathering of current community-engaged dance projects open for new participants by Vancouver independent artists or companies. http://www.everybodydancebc.org/ 



""Community Dance on Tour""

is a selection of Community Engaged Dance Propositions from BC based artists, collectives or companies for presenters or other organizations interested in brining these type of projects in their communities. 



The ""Community Engagement Facilitator Program"" 

Also called our Dance Champions program is a group of artists and community organizers that have their ears to the ground in each of the MiBC communities, ensuring the development of locally relevant community dance projects programming across the province.",jl@madeinbc.org,"JulieÂ Lebel, ManagerÂ CommunityÂ EngagedÂ DanceÂ Programs","Made in BC- Dance on Tour is a non-profit industry association dedicated to building a culture for dance throughout the province of British Columbia. Our programs create opportunities for people from all over BC to learn about the arts, express themselves creatively and celebrate a shared humanity through dance performance and activities. 



We connect BC communities with dance artists; fostering an appreciation of contemporary dance by collaborating with arts presenters, community arts councils, parks boards, schools and community groups across the province. We support dance artists by connecting them to community partners and nurturing and supporting their creative ideas and projects by enhancing their capacity to bring their passion to others. 



If you want to bring dance to your community through performances, residencies, workshops and community engaged dance projects â",MadeÂ inÂ BC - Dance on Tour,604-893-8830,http://artbridges.ca/community/profile/507,,,"Charity, Non-profit, Program, Project, Resource, Network",https://twitter.com/MiBCDanceOnTour,http://www.madeinbc.org/community-dance/
,"1000 boul. Roland-therrien
Longueuil, QC  J4J 5H3",,"Arts visuels, musique",https://www.facebook.com/maisonkekpart,French,,"Quebec, Grand Longueuil",Youth,"Chaque semaine, nous avons une soirÃ©e consacrÃ©e aux arts. De plus, nous avons un studio dâ",sarakekpart@hotmail.com,"Sara Falsafi, Coordonnatrice de la MDJK",Permettre aux jeunes dâ,Maison de jeunes Kekpart,(450) 677-3821,http://artbridges.ca/community/profile/150,,"Sonia Goulet-Lacasse, Coordonnatrice de projet",Non-profit,,http://www.kekpart.com
,"219, boulevard Provencher
St-Boniface, MB  R2H 0G4",,Arts visuels contemporains,,French,,"Manitoba, Manitoba francophone, situÃ© Ã  Saint-Boniface","Adults, All Ages, Children, Seniors, Youth, Artistes francophones du Manitoba des tous Ã¢ges.",,maison@mts.net,"Eric Plamondon, Directeur gÃ©nÃ©ral",La Maison des artistes visuels francophones inc. est une association au service des artistes visuels francophones du Manitoba qui veut travailler Ã  assurer la viabilitÃ© dâ,Maison des Artistes Visuels Francophones,(204) 237-5964,http://artbridges.ca/community/profile/151,,"Eric Lesage, Directeur artistique",Non-profit,,http://www.maisondesartistes.mb.ca
,"208 Osler St.
Toronto, ON  M6N 2Z1",,"Community Arts, Visual Arts",,English,,"Ontario, Toronto","Adults, All Ages, Children, Seniors, Youth","o Regular arts drop-ins and art-meditation sessions leading to annual large-scale celebrations

o Celebrations of seasonal and life cycle markers, creation of new rituals

o internships, workshops, seminars, conferences

o Forming long-term and transformative partnerships and collaborations

o Renovating and transformation of indoors and outdoor spaces for our activities.",diggerburtt@gmail.com,"Michael Burtt, Artistic Director","Making Room Community Arts is a radically inclusive, multi-disciplinary arts company in long-term residence at the Parkdale Activity Recreation Centre. We create celebrations and ceremonies, large and small out of the ground of everyday life. 

We seek to return art to its rightful place in everyday life as a bridge between our inner and exterior worlds. We do this by bringing together people, places and things that have been previously kept apart: noise and silence, action and contemplation, rest and movement, artists and non-artists, the housed and under-housed â",Making Room Community Arts,(416) 876-5951,http://artbridges.ca/community/profile/152,,,"Program, Making Room is the resident community arts organization at PARC.",,http://www.making-room.org
"OUR SPACE 


37 Bulwer is a social hub where great energies merge! Our space has been used to host; artist talks, yoga classes, gallery exhibitions, workshops and collaborative meetings, culinary events and other creative endeavours. 


The venue is located at 37 Bulwer Street in the heart of downtown Toronto, just north-east of Queen St. and Spadina Ave. Steps away from creative industries of Queen West, the space is a unique venue for hosting events, parties, and gatherings. If you are interested in visiting or booking our space, please visit themanifesto.ca/space or contact space@themanifesto.ca.","37 Bulwer Street
Toronto, ON  M5T 1A1",,"Dance, Literary Arts, Media Arts, Music, Visual Arts, Multidisciplinary Arts, Fashion, Spiritual Arts, Culinary Arts",,English,,"Ontario, sister organization in Jamaica: ManifestoJA","Youth, Diverse communities","Manifesto produces a variety of programming throughout the year, including an internship program, workshops, artist talks, townhall meetings, and more. The organization is most recognized for the annual Festival of Community & Culture, a celebration of music, visual art, dance and culture. Rooted in hip hop, this festival works to unite, energize, cultivate and celebrate Torontoâ",info@themanifesto.ca,"Stephanie Perrin, Administrative Director","Manifesto works to unite, inspire, and empower diverse communities of young people through arts and culture.",Manifesto,(647) 436-8404,http://artbridges.ca/community/profile/262,,,"Annual Festival, Non-profit",,http://www.themanifesto.ca
Vision: â,"11 Martha Street
Winnipeg, MB  R3B 1A2",,"Visual arts, production house and gallery in traditional and digital printmaking",,English,,"Manitoba, Winnipeg Region mainly, Southern Manitoba in general.","Adults, FNMI, Seniors, Youth, Newcomers, grassroots community groups, professional artists","Martha Street Studio is the only not-for-profit printmaking studio and exhibition space in Manitoba. As a unique organization we work with professional and community based organizations towards a common goal of enriching the lives of Manitobans through the production and dissemination of the arts and the art of printmaking. We do this by providing adult classes in all forms of printmaking, production studio rental to member printmakers, professional exhibitions of print based work and custom designed intensive workshops (geared to community groups as well as the professional community) both on site and off. We have a sales area that markets prints from local and national artists. We also feature an extensive youth outreach program that provides free training in all forms of print based art making to youth aged 16 to 25.",printmakers@mymts.net,"Larry Glawson, Executive Director","The Manitoba Printmakers Association maintains the heritage of excellence in printmaking while advancing artists and innovation through technique, education and community engagement at its sustainable Martha Street Studio facility.",Martha Street Studio/Manitoba Printmakers Association,(204) 779-6253,http://artbridges.ca/community/profile/153,,,"Charity, Non-profit, Resource",,http://www.printmakers.mb.ca
,"611 Main St.
Winnipeg, MB  R3B 1E1",0,,,English,,"Manitoba, primarily Winnipeg",Adults,"MAWA offers mentorships (of varying lengths and focuses), lectures, artist talks, skills based workshops, professional practices workshops, critical reading groups, studio visits, an artistÂ",programs@mawa.ca,"Lisa Wood, Program and Administrative Director",Mentoring Artists for Womenâ,Mentoring Artists for Women's Art (MAWA),(204Â,http://artbridges.ca/community/profile/328,,,"Artist-run Centre, Non-profit",,http://mawa.ca/
,"330 Albert Street
Espanola, ON  P5E 1J7",,Visual art mural projects based on First Nation perspective.,,English,,"Ontario, This program is intended to be brought to your community and completed by the community participants","Adults, All Ages, Children, FNMI, Seniors, Youth, Homeless","Researching First Nations, learning of the Seven Grandfather Teachings, mixing color, wall mural layout and design, painting. All participants learn the value of working together as a team, respecting those they work with and from while in a safe environment.",cycywink@gmail.com,"Michael Cywink, Independent Curator",To work with those who have an interest to learn of First Nation's culture through the arts with appreciation.,Michael Cywink,(705) 869-6866,http://artbridges.ca/community/profile/155,,,"Independent Curator, Community Artist",,http://www.slideshare.net/michaelcywink
,"369 Queen St. E.
Sault Ste. Marie, ON  P6A1Z4",,To showcase our local artists,https://www.facebook.com/miinikaanproject/,English,,"Ontario, Algoma Region",All Ages,"We offer monthly traditional and modern Indigenous art workshops which range from learning how to document your art work to soapstone carvings and drum making. These workshops are free for the public of Sault Ste. Marie, ON and will be running until the end of January 2018.",dayna.rainville@gmail.com,"Dayna Rainville, Art & Community Project Coordinator","Our Mission is to bridge the gap between the Indigenous and Non-indigenous residents of Sault Ste. Marie and surrounding areas, by creating a space to learn and converse during group exhibits and workshops.",Miinikaan Project,1(705)945-9756,http://artbridges.ca/community/profile/497,"369 Queen St. E.
Sault Ste.Marie, ON  P6A1Z4","Russell Raven, Executive Director of Arts Council of Algoma",Arts Council,,
,"1001 Rue Lenoir Suite B-214
Montreal, QC  H4C 2Z6",,"craetive writing, spoken word, photography",https://www.facebook.com/mikwchiyam/,English,https://www.linkedin.com/company/16197544/,"Quebec, Eeyou Istchee â","FNMI, Youth, Cree Nation Youth in the Eeyou Istchee","For the 2017-18 school year, we have our arts concentration program running in four secondary schools in the EEyou Istchee: Voyageur Memorial School in Mistissini, Wiinibekuu School in Waskaganish, James Bay Eeyou School in Chisasibi and Luke Mettaweskum School in Nemaska.",lina.moreno@mikwchiyam.com,"Lina Moreno, Director of Research and Development",This program is designed to increase studentsâ,Mikw ChiyÃ¢m Arts Concentration Program,,http://artbridges.ca/community/profile/513,,,"Program, Arts Concentration Program commissioned by the Cree School Board",https://twitter.com/mikwchiyam?lang=en,http://mikwchiyam.com/
,"Toronto, ON",,,https://www.facebook.com/MindfulArts,English,,"Ontario, Regent Park","Adults, adults with mental illness","We used open-ended, process-focused arts activities to foster dialogue within the community.",info.mindfularts@gmail.com,"Eleanor Berenson, Co-founder/Director",We create stronger and more equitable communities through collective creative experiences.,Mindful Arts,416-333-0851,http://artbridges.ca/community/profile/327,,,"Non-profit, Program",,http://www.mindfularts.ca
"Additional languages (continued): WeÂ have worked in more than 25 languagesÂ and dialects including English, French, Cantonese, Mandarin, Tagalog, Urdu, Punjabi, Eritrean,  Japanese, Gaelic, Spanish, various Indigenous languages includingÂ Cree, Musqueum, Squamish and Tsleil-Waututh.



About Us: â","Suite 309, 1016 E. 8th Avenue
Vancouver, BC  V5T 1T9",,"Interdisciplinary, performance art, theatre, new media, video, political art and public/community art",https://www.facebook.com/miscellaneousproductions,"English, WeÂ have worked in more than 25 languagesÂ and dialects",,"British Columbia, City of Vancouver and some suburban areas in the Lower Mainland","Adults, FNMI, Seniors, Youth",,elaine@miscellaneousproductions.ca,"Elaine Carol, Artistic Director","Artistic Mission and Profile of the Organization:

to educate and increase the publicâ",Miscellaneous Productions,(604) 873-6522,http://artbridges.ca/community/profile/156,,,"Charity, Non-profit, Community-engagedÂ interdisciplinary arts organization",https://twitter.com/ElaineCarol3,http://www.miscellaneousproductions.ca/
"Community served (continued):

Mixed Company Theatre reaches out to a broad demographic base from children, youth, adults, and seniors. Mixed Company Theatre connects with and tours to all educational institutions (elementary, secondary, post-secondary, continuing education and vocational schools). In addition, MCT serves community organizations, government agencies, unions, and corporations with professional development workshops, innovative theatre projects and training programs.



Read more about Mixed Company Theatre:

â","157 Carlton Street, Suite 206
Toronto, ON  M5A 2K3",,Performing Arts and Community Arts,,"English, French, (translators can be hired for other languages)",,"Ontario, some out-of-province initiatives as well as international projects as grants and sponsorship allow.","Adults, All Ages, Children, Seniors, Youth","Mixed Company Theatre - 2015/16 Season:



ANXIETY SHOW *New* â",info@mixedcompanytheatre.com,"Simon Malbogat, Co-founder and Artistic Director",MCTâ,Mixed Company Theatre,(416) 515-8080,http://artbridges.ca/community/profile/157,,,Non-profit,,http://www.mixedcompanytheatre.com
,"PO Box 61148 Kensington RPO
Calgary, AB  T2N 4S6",,Dance and theatre,,"English, American Sign Language",,"Alberta, Calgary","Adults, Dis/Abilities, Youth, Youth and adults of all abilities!","Classes 

MoMo runs weekly, daytime classes for adults and weekend classes for youth. These fun-filled classes teach creative movement, DanceAbility and theatre games. Classes are full of physical activity, imagination, music and expression. Adults and youth with developmental, neurological, sensory, physical and cross-diagnosed disabilities are all welcome!   



MoMo Performance Ensemble:

The MoMo ensemble members are experienced dancers with and without disabilities. The group trains in techniques from dance improvisation, theatre, contemporary dance and vocal improvisation. The ensemble works with professional dancers, theatre artists and choreographers to create new works for presentation in MoMo productions, local festivals and other events during the Calgary theatre season. Our work challenges the boundaries of ability by working with them as creative material to find freedom, equality and innovative performance.



Workshops:

MoMo periodically presents workshops with renowned, integrated dance teachers and companies from around the world throughout our season. MoMo offers workshops to community groups, dancers, children, adults and anyone interested in moving, expressing themselves and having fun.",info@momodancetheatre.org,"Catherine Coutts,","MoMo brings together professional artists and prospective artists, with and without disability to explore movement, voice, theatre, dance, and improvisational disciplines. 



Artists of all abilities, skills and levels are supported and challenged in the practice, creation and performance of distinctive works of dance theatre that reflect our unique community and its individuals. 



MoMo Mixed Ability Dance Theatre brings together a diverse community of artists, whose purpose it is to remove barriers and facilitate artistic expression through performance and the enjoyment of movement as a form of unique and spontaneous creation.",MoMo Mixed Ability Dance Theatre,(403) 283-3445,http://artbridges.ca/community/profile/158,,,Non-profit,,http://www.momodancetheatre.org
,"281 Industrial Avenue
Vanacouver, BC  V6A 2P2",,Theatre,,English,,British Columbia,All Ages,Theatrical Productions,administration@mortalcoil.bc.ca,"Marietta Kozak, General Manager","Mortal Coil Performance Society is dedicated to creating imaginative theatre and spectacle for all audiences. The company brings magic and myth to its performing characters through the use of stilts, masks and fantastic costuming.



The companyâ",Mortal Coil Performance Society,604-874-6153,http://artbridges.ca/community/profile/353,,,Charity,,http://www.mortalcoil.bc.ca
,"78 Toronto Street
Barrie, ON  L4N 1V2",,"Visual Arts, Inclusion, Therapy, Community Building",https://www.facebook.com/camphill.mosaic/,English,,Ontario,"Adults, Dis/Abilities","Mosaics, Pottery, Weaving, Drawing, Painting",mosaicstudio@camphill.on.ca,"Jeff Alward, Studio Coordinator","Camphill Ontario provides opportunities for adults with developmental disabilities to live, learn and work together with others in an atmosphere of mutual respect and equality.",Mosaic Studio,705-728-7752,http://artbridges.ca/community/profile/467,,,"Charity, Non-profit, Program",,http://www.camphill.on.ca
"OrlÃ©ans (et Cumberland), Ottawa-Est (Vanier, Gloucester, Blackburn Hamlet), Est Ontarien (Rockland,Wendover, Plantagenet, Alfred, Casselman, Embrun), Ottawa-Centre, Ottawa-Ouest, Outaouais.","6600, rue CarriÃ¨re (Centre culturel dâ",,"Spectacles en ThÃ©Ã¢tre, Danse, Humour, Chanson, Musique",,French,,"Ontario, OrlÃ©ans, Ottawa-Est, Est Ontarien, Ottawa-Centre. Ottawa-Ouest, Outaouais","Adults, All Ages, Children, Seniors, Youth, Tout public â",Le MIFO est partenaire du Centre des Arts Shenkman. Ã,patrick@mifo.net,"Patrick Bourbonnais, Directeur Artistique",Le Mouvement dâ,Mouvement dâ,(613) 580-2766,http://artbridges.ca/community/profile/159,"245, boulevard Centrum, Centre des Arts Shenkman
OrlÃ©ans, ON","MÃ©lanie Gatt, Agente du marketing et des communications",Non-profit,,http://mifo.ca/
https://www.youtube.com/user/MUmurals,"275 boul. de Maisonneuve est#2
MontrÃ©al, QC  H2X 1J6",,"Art mural, arts visuels",https://www.facebook.com/MUmtl,French,,"Quebec, (MontrÃ©al) Grande rÃ©gion mÃ©tropolitaine",Youth,"Ateliers d'art mural offert en milieu communautaire, scolaire et parascolaire. ces ateliers d'art mural s'adressent aux adolescents de 13-17 ans, de mÃªme qu'aux 18-25 ans.


Outre la rÃ©alisation de murale, les ateliers visent la persÃ©vÃ©rance scolaire par la dÃ©couverte de mÃ©tiers liÃ©s au monde des arts.",julie.emond@mumtl.org,Julie Ã,La mission de MU est dâ,MU,5148143043,http://artbridges.ca/community/profile/329,,"Caroline Marinacci, Directrice, administration et communication",Charity,https://twitter.com/mumtl,http://www.mumtl.org
"For the most up-to-date news, projects and opportunities follow us on Facebook and Twitter!Â  



Facebook:  https://www.facebook.com/muralroutesÂ  

Twitter:  https://twitter.com/muralroutesÂ  

Instagram: https://instagram.com/muralroutes 

Blog: http://muralroutes.ca/","1859 Kingston Rd.
Toronto, ON  M1N 1T3","Mural Routes often works in partnership with communities and community-engaged arts initiatives. For example, we would love to run our Intro to Mural Arts program in partnership with an arts initiative that is working towards a tangible mural project in the area. This would allow community members to participate and feel empowered to engage with local projects while connecting their learning to a tangible outcome.



Mural Routes can also offer connections to a large network of professional and emerging mural artists. We often work with organizations and communities to link artists with projects, spread information to our network, or consult on public art project management.



We welcome a wide range of support and partnerships; partners are often most supportive in finding suitable space for our programs, identifying communities with an interest in mural art or a specific need for programing, and connecting us with artists or volunteers.

We are always looking for new members and partners and would love to talk with other community-engaged arts initiatives about how we could help each other.","Visual Arts, murals, mosaics, public art.",https://www.facebook.com/muralroutes,English,,"Canada-wide, Ontario, Projects and programs across the GTA, connections across Canada & nternationally.","Adults, Youth, Emerging Artists, Varies (depending on local community and those involved in each mural project)","The Mural Art Learning Institute, including: 

Introduction to Mural Arts: Free learning program for all ages (14+) and skill levels (location & times vary)â",natalie@muralroutes.com,"Natalie Dewan, Program Coordinator","Our vision is to inspire the creation of extraordinary public wall art that serves as a catalyst for community building. Mural Routes is dedicated to creating, promoting, educating, advising and linking artists, organizations and others that are interested in the development of public wall art. 



Our goals:â",Mural Routes,(416) 698-7995,http://artbridges.ca/community/profile/160,,,"Charity, Non-profit, Resource, Arts service organization",https://twitter.com/muralroutes,http://muralroutes.com
,"201-320 Torbay Road
St. John's, NL  A1A 0L3",WISHLIST: The Murphy Centreâ,Visual arts,,English,,"Newfoundland, Newfoundland and Labrador. However, youth need to live in St. Johnâ","Youth, The program is geared towards youth between the ages 15-30.","The Murphy Centre is a not-for-profit organization that offers a wide variety of programs and services to youth at risk, including the Community Youth Arts Program. The over 8 years of success of this program can be attributed to the dedication of the centreâ",fulfordcandace@gmail.com,"Candace Fulford, Community Youth Arts Coordinator","Its mandate is to help youth who have various barriers to obtaining further education and employment, develop their employability skills and goals with a particular focus on visual arts.",Murphy Centre / Community Youth Arts,(709) 757-2688,http://artbridges.ca/community/profile/161,,,Program,,http://www.murphycentre.ca/
"https://youtu.be/2doeAk7Acdw  by Asna Adhami 



https://youtu.be/UDHQSOfAZr8 by Tamar Dina & Andrea Dorfman","40 Main Ave
Halifax, NS  B3M 1A3","The Music Liberatory seeks alliances and collaborations with other feminist initiatives, feminist musicians and artists and with those that support feminist art movements.



While the organization is run and serves only women, we are open to work with mixed groups especially those seeking race and class equality.",Music,https://www.facebook.com/musicliberatory/,English,,Nova Scotia,"All Ages, Women and girls","We believe that everyone is born with musical ability and that females in particular are systemically denied opportunity and taught to underestimate their capacity.



Only a desire to share music is ever needed. No previous music experience or education is required for any of our programs. Instruments are available to use free of charge.",tamar@musicliberatory.com,"Tamar Dina, Coordinator","Music Liberatory aims to dramatically increase the number of female instrumentalists by providing meaningful, fun, and free music programming for women and girls.",Music Liberatory,902 444 4999,http://artbridges.ca/community/profile/369,,,"Non-profit, Women's Group",https://twitter.com/musicliberatory,http://musicliberatory.com
,"P.O. Box 253 Station B
Sudbury, ON  P3E 4N5",,"Visual arts, media arts, theatre, dance, music, performance, installation",,"English, French",,"Ontario, Sudbury","Adults, All Ages, Children, FNMI, Seniors, Youth, Homeless, Newcomers, Everyone","Myths and Mirrors is a multidisciplinary arts organization rooted in Sudbury, ON. We bring professional artists together with community members to create long and short term projects. We partner with community organizations, festivals, professional artists and individuals provide  workshops, training, events and happenings of art.  Our outreach activities bring arts programming to people in the community who my otherwise not become involved.



Some of our current projects include:

The SWANS Project - giving sex workers a voice through art

The Waiting Room Project - engaging art workshops for the clients of the Samaritan Centre which services the homeless and those  navigating adversity in downtown Sudbury

Youth Art Initiative - providing summer art camp programming to marginalized Sudbury youth

The Kazzzam Performers - Stilt walking training and performance troupe for youth",mythsandmirrors@gmail.com,"Sarah King Gold, Artistic Director",To educate and promote the publicâ,Myths and Mirrors Community Arts,(705) 222-1305,http://artbridges.ca/community/profile/162,,"Blaire Flynn, Administrative Coordinator",Non-profit,,https://mythsandmirrors.org/
,"120-256 Wallace Street
Nanaimo, BC  V9R 5B3",,All of the arts!,https://www.facebook.com/pages/The-Nanaimo-Arts-Council/111885718911164,English,,British Columbia,"Adults, All Ages, Children, Seniors, Youth","Art Around Town (Port Theatre / Conference Centre), Heritage Paint Out Shoot Out, VIEX, Culture Days, ArtWalk, Nanaimo Beading Circle, Gallery (Exhibiting Artists / Feature Shows / Showcases), Islands Short Fiction Competition, Vancouver Island Short Film Festival, Achievement Awards.....and any other activities as they arise.",admin@nanaimoartscouncil.ca,"Sarah Schmidt, Executive Director","Mission Statement: Catalyst for Community Creativity.  



Vision Statements:

Space for Creative Growth and Expression

Connected and Engaged Creative Community

Financial and Organizational Sustainability



NAC Objects:

The object of the Society shall be to stimulate, encourage, promote, and assist in the development of individual interest, participation and public awareness, appreciation and support of aesthetic and cultural activities, endeavours, and production.",Nanaimo Arts Council,250-729-3947,http://artbridges.ca/community/profile/290,,,"Artist Collective, Artist-run Centre, Arts Council, Charity, Non-profit",https://twitter.com/NanArtsCouncil,http://www.nanaimoartscouncil.com
,"16 Spadina Rd.
Toronto, ON  M5R 2S7",,"Visual arts, crafts, dance, music",,"English, Cree, Ojibwa",,"Ontario, Toronto","Adults, All Ages, Children, FNMI, Seniors, Youth, homeless, everyone welcome, free of drugs and alcohol","Aboriginal art on display, authentic Aboriginal arts and crafts for sale in gift shop, painting classes for adults and craft classes for kids, art workshops for youth (all free with membership), women's hand drumming, men's big drum instruction and big drum and dance socials every Thursday (7-9pm, free), women and children's traditional dance classes, regalia making and beading classes.",Jnet.cavanagh@ncct.on.ca,Jâ,"The Native Canadian Centre of Toronto is a community based, non-profit organization which provides a gathering place to deliver programs and services to the Native people, while striving to reflect the traditional Native cultural perspective. Our Native Way has always given us life. On the foundation of this belief we will continue to build a strong and healthy Native community. By providing a gathering place to deliver programs that celebrate our traditional perspective and ways of life, we move towards the unity and empowerment of our community.",Native Canadian Centre of Toronto,(416) 694-9087 ext. 339,http://artbridges.ca/community/profile/163,,,"Charity, Program",,http://www.ncct.on.ca/
